timestamp,moisture_value,moisture_percentage,ph_ph_value,ph_depth,ph_light,ph_temperature,npk_nitrogen,npk_phosphorus,npk_potassium
4/15/2025 15:54,272,74,7.35,2,202,28,51,72,145
4/15/2025 15:54,272,74,7.35,2,202,28,51,72,145
4/15/2025 15:54,273,74,7.42,2,202,28,51,72,145
4/15/2025 15:54,277,73,7.31,2,202,28,51,72,145
4/15/2025 15:55,272,74,7.35,2,201,28,51,72,145
4/15/2025 15:55,274,74,7.31,2,201,28,51,72,145
4/15/2025 15:55,274,74,7.35,2,201,28,51,72,145
4/15/2025 15:55,274,74,7.31,2,201,28,51,72,145
4/15/2025 15:55,273,74,7.35,2,201,28,51,72,145
4/15/2025 15:55,292,72,7.35,2,201,28,51,72,145
4/15/2025 15:56,270,74,7.31,2,202,28,51,72,145
4/15/2025 15:56,274,74,7.42,2,202,28,51,72,145
4/15/2025 15:56,273,74,7.31,2,202,28,51,72,145
4/15/2025 15:56,273,74,7.42,2,202,28,51,72,145
4/15/2025 15:56,273,74,7.35,2,202,28,51,72,145
4/15/2025 15:56,271,74,7.35,2,201,28,51,72,145
4/15/2025 15:56,274,74,7.31,2,201,28,51,72,145
4/15/2025 15:57,270,74,7.35,2,201,28,51,72,145
4/15/2025 15:57,272,74,7.31,2,201,28,51,72,145
4/15/2025 15:57,273,74,7.35,2,201,28,51,72,145
4/15/2025 15:57,273,74,7.35,2,202,28,51,72,145
4/15/2025 15:57,273,74,7.35,2,202,28,51,72,145
4/15/2025 15:57,274,74,7.38,2,202,28,51,72,145
4/15/2025 15:58,272,74,7.31,2,202,28,51,72,145
4/15/2025 15:58,273,74,7.35,2,202,28,51,72,145
4/15/2025 15:58,273,74,7.31,2,201,28,51,72,145
4/15/2025 15:58,272,74,7.35,2,201,28,51,72,145
4/15/2025 15:58,273,74,7.31,2,201,28,51,72,145
4/15/2025 15:58,276,74,7.35,2,201,28,51,72,145
4/15/2025 15:59,273,74,7.35,2,201,28,51,72,145
4/15/2025 15:59,274,74,7.31,2,201,28,51,72,145
4/15/2025 15:59,274,74,7.42,2,202,28,51,72,145
4/15/2025 15:59,273,74,7.31,2,202,28,51,72,145
4/15/2025 15:59,273,74,7.6,2,202,28,51,72,145
4/15/2025 15:59,273,74,7.31,2,202,28,51,72,145
4/15/2025 15:59,281,73,7.35,2,202,28,51,72,145
4/15/2025 16:00,274,74,7.31,2,202,28,51,72,145
4/15/2025 16:00,274,74,7.31,2,202,28,51,72,145
4/15/2025 16:00,274,74,7.31,2,202,28,51,72,145
